question;reponse;reponse
Au cours des 15 derniers jours, avez-vous eu un de ces signes: - Fièvre supérieure à 38 - Toux sèche - Mal de tete ou perte de l'odorat ou du gout - Diarrhée, vomissements ou mal de ventre - Douleurs musculaires Si vous avez un ou plusieurs de ces signes ou si au cours des 15 derniers jours, si vous avez été en contact avec une personne atteinte du Covid19, répondez uniquement COV;27;Aucune pathologie a ce jour
Hopital John Gregoire Montreuil : suite à votre intervention si tout va bien répondez TVB, sinon répondez AID;14;Merci beaucoup
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez le maintenant et renvoyez une évaluation de votre douleur dans 45 min;43;C est en bonne voie Merci à vous  HUCK Jane
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;207;Personnel trés agréable, d'une maniére générale.  On a l'impression de manquer un peu d'intimité et de faire partie d'une chaîne.  Comme à l'usine. On ne nous explique pas beaucoup comment cela va se passer.
Merci pour votre confiance. Votre satisfaction étant notre priorité, nous vous invitons à nous laisser un avis 5 étoiles sur notre page GOOGLE via le lien ci-dessous : https://example.com;273;"à ""Merci de votre réponse. Nous vous souhaitons un prompt rétablissement. Pour toute question vous pouvez nous joindre du lundi au vendredi de 7h30 à 20h au 01.00.00.00.00. En dehors de ces horaires vous pouvez, si besoin, joindre le service des urgences au 01.00.00.00.00"""
Pouvez-vous nous renvoyer votre niveau de douleur actuel (un chiffre de 0 à 10) ?;29;J'ai fait caca yavais du sang
Vous n'avez répondu à aucun message. Répondez y maintenant ou si tout va bien, répondez TVB.;44;Bonjour,  0 Pas de douleur  Je vous remercie
Nous n'avons pas recu de réponse à notre précédent message - Suite à votre intervention à la Clinique Villeneuve-Saint-John, si tout va bien, répondez TVB sinon répondez AID;23;TVB merci bonne journée
"Evaluez votre douleur d'aujourd'hui sur une échelle de 0 à 10 et répondez simplement par un chiffre (0 : pas de douleur ; 10 : douleur insupportable)";45;Bonjour merci pour votre dévouement douleur 1
CH privé du Montgardé : suite à votre intervention, si tout va bien répondez TVB, en cas de problème médical répondez AID;17;Bonjour TVB Merci
Vous n'avez pas répondu au message précédent, si tout va bien répondez TVB, sinon répondez AID;38;Bonjour, Oui, TVB Merci, bonne journée
Un accompagnant est obligatoire pour votre sortie et durant la première nuit;30;Résultat PCR demain après-midi
Pouvez-vous nous en donner la raison ?;42;Visite de routine suite à mon intervention
CH privé du Montgardé : suite à votre intervention, si tout va bien répondez TVB, en cas de problème médical répondez AID;11;TVB. Merci.
Bonjour, oui vous pouvez prendre du paracétamol. N'hésitez pas à nous recontacter si cela persiste;12;Ok sinon TVB
Pour toute question ou problème vous pouvez appeler la chirurgie ambulatoire au 01.00.00.00.00 du lundi au vendredi de 8h à 18h. En dehors de ces horaires, le weekend et jours fériés, contactez les numéros indiqués sur la pochette de sortie;11;T V B merci
Vous n'avez répondu à aucun message, répondez-y maintenant. Si tout va bien répondez TVB sinon répondez AID;42;Je n'ai reçu aucun message mais TVB. Merci
Vous etes attendu le **/date_demarrage_date**/ à l'hopital Parly 2.  Si vous avez fait votre pré-admission, répondez FAIT. Sinon faites-la aujourd'hui : https://example.com Répondez FAIT quand vous l'aurez faite;124;Il ne s'agit PAS de moi ! C'est la deuxième fois que je vous le signale. Jane John née le 22 janvier 1954. Merci de vérifier
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;28;Tout va bien merci TVB merci
Suite à votre angioplastie coronaire à l’hôpital Mondor, si vous avez ressenti des douleurs dans la poitrine, répondez DOUL Si vous avez un hématome au niveau du pansement appliqué après l'examen, répondez BLEU;21;Petite gêne seulement
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;140;9.   En effet, j ai failli partir sans mon ordonnance car je ne savais pas qu' il fallait passer par la collation pour recevoir mon dossier.
Evaluez votre douleur actuelle sur une échelle de 0 à 10 et répondez simplement un chiffre (0 :pas de douleur, 10 : douleur insupportable);39;Bonjour :),  TVB 1 TVB  Bonne journée !
Vous n'avez pas répondu, si tout va bien répondez uniquement TVB. Si température supérieure à 38.5°, douleurs, saignements ou autres problèmes, répondez uniquement AIDE;85;Je me reprends : j'ai des douleurs au niveau estomac / intestin  Une douleur sourde !
En cas de nausées, de vomissements ou de vertiges, répondez NVO. Si vous avez un saignement important, répondez SNG. Si vous n'avez pas réussi à uriner, répondez URI;32;Et non je n'ai pas de saignement
"Evaluez votre douleur actuelle sur une échelle de 0 à 10 et répondez simplement par un chiffre (0 : pas de douleur ; 10 : douleur insupportable)";14;TVB Douleur. 0
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;99;Beaucoup d'attention, de professionnalisme, de gentillesse. Une fierté pour l'hôpital public. Merci
En cas de nausées, de vomissements ou de vertiges, répondez NVO. Si vous avez un saignement important, répondez SNG. Si vous n'avez pas réussi à uriner, répondez URI;42;Je n'ai pas de douleur, oui je suis uriner
CHU de Tours, suite à votre intervention, si tout va bien répondez TVB;14;Oui TVB merci.
Hopital Port Royal : évaluez la satisfaction de votre séjour en chirurgie ambulatoire de 0 à 10 (0: pas satisfait du tout et 10: extrêmement satisfait);30;10  Bien à vous, John Campagni
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;16;Trés satisfait 5
Merci de votre réponse. Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00/61 du lundi au vendredi de 7h à 19h;29;Merci bcp de votre assistance
Si vous avez demandé à voir le medecin radiologue et que vous l'avez effectivement rencontré, répondez VU;20;On n'a rien  demandé
Evaluez votre douleur actuelle sur une échelle de 0 à 10 et répondez simplement un chiffre (0 :pas de douleur, 10 : douleur insupportable);28;0 ...pas de douleur !! Merci
Apportez l'ordonnance de votre médecin, vos analyses de sang et vos examens radiologiques en rapport avec cet examen, surtout s'ils ont été faits dans un autre centre;132;Åon nom est John Cassard Né s agirait t il pas de Jane Cassard mon épouse qui est hospitalisée chez vous en ce moment ? Salutations
Evaluez votre douleur actuelle sur une échelle de 0 à 10 et répondez simplement un chiffre (0 :pas de douleur, 10 : douleur insupportable);144;TVB maintenant j'ai eu un peu mal au ventre hier soir et ce matin et une sensation désagréable de gorge irritée mais je pense que cela va passer
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;102;Vraiment une équipe excellente: attentive et trés professionnelle : je recommande vivement  Jane Llech
Quel est le nom du médicament que vous avez pris ?;20;Tramadol/paracétamol
Suite à votre intervention en chirurgie ambulatoire, si tout va bien répondez TVB sinon répondez AID;11;TVB. Merci.
Vous n'avez répondu à notre précédent SMS. Si tout va bien répondez TVB, sinon répondez AID. Pour toute urgence vitale, faites le 15 ou rendez vous aux urgences. Nous attendons une réponse de votre part avant 13H30;157;TVB au global, en revanche j'ai la sensation d'avoir quelque-chose coincé dans l'œsophage depuis ma gastroscopie. Est-ce que c'est normal ?  Merci  Jane bach
Evaluez votre douleur actuelle sur une échelle de 0 à 10 et répondez simplement un chiffre (0 :pas de douleur, 10 : douleur insupportable);31;Non pas fièvre ni douleur merci
Vous n'avez répondu à notre précédent SMS. Si tout va bien répondez TVB, sinon répondez AID. Pour toute urgence vitale, faites le 15 ou rendez vous aux urgences. Nous attendons une réponse de votre part avant 13H30;111;Avec toutes mes excuses  oui TVB la nuit c'est très bien passé  Merci  d'avoir pris de les nouvelles  John John
En cas de problème vous pouvez appeler le numéro indiqué sur le document lettre de liaison ;29;Tout va bien,merci,roux John.
Si votre température est supérieure à 38 ou si vous avez des saignements répondez simplement les 3 lettres OUI;18;pas de température
Suite à votre intervention, si vous n'avez eu ni douleur, ni hématome, ni fièvre, ni essoufflement anormal, répondez TVB;62;Sauf un tout petit hématome tout va bien. Merci et bien à vous
Vous irez au bloc opératoire à pied: si cela vous parait impossible répondez IMP;84;Et mes pansements adhésifs ( lidocaine prilocaine à 5%) je les mets à quelle heure ?
CH Pau : votre opération est prévue le **/date_demarrage_date**/. Nous vous enverrons l'heure de convocation la veille vers 14h. Un accompagnant est obligatoire pour votre sortie et la 1re nuit post-opératoire. Si vous avez un empechement ou un problème de santé, répondez ALERTE;59;Bonjour j'arriverai le  matin  comme la  première opération
CHU John Jane : Suite à votre intervention au sein de l'unité de chirurgie ambulatoire, pensez à prendre les médicaments prescrits. Si tout va bien, répondez TVB, sinon répondez AID;22;TVB Tout va bien merci
Hopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extrêmement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMS;221;âââ€ïžâ to 'âHopital Cochin: Evaluez votre passage à l'ophtalmopole sur une échelle de 0 à 10 (0 : pas du tout satisfait / 10 : extremement satisfait) Si vous avez un commentaire, mettez le dans un 2e SMSâ'â
Pour toute question ou problème vous pouvez nous appeler au 01.00.00.00.00 de 9h à 15h;36;Vomissement nausée douleur d'estomac
Vous n'avez pas répondu, si tout va bien répondez TVB, sinon répondez AID;98;Ce matin un peu de fatigue et migraine ophtalmique, ce qui ne m'était pas arrivé depuis longtemps.
Quel est le nom du médicament que vous avez pris ?;12;Effervescent
Quel est le nom du médicament que vous avez pris ?;19;À 8 heures du matin
Quel est le nom du médicament que vous avez pris ?;16;Dafalgan Codéine
Suite à votre intervention, si vous n'avez eu ni douleur, ni hématome, ni fièvre, ni essoufflement anormal, répondez TVB;17;TVB ce quoi SVP ?
Si votre température est supérieure à 38 ou si vous avez des saignements répondez simplement les 3 lettres OUI;11;Pas douleur
Si votre température est supérieure à 38 ou si vous avez des saignements répondez simplement les 3 lettres OUI;15;Tout va bien. 0
Suite à votre intervention, si vous n'avez eu ni douleur, ni hématome, ni fièvre, ni essoufflement anormal, répondez TVB;21;Pas eu d'intervention
Si vous avez pris votre traitement anti-douleur répondez PRIS, sinon prenez-le maintenant et envoyer un SMS avec un chiffre entre 0 et 10 dans 45 min;145;J'ai remplacé le doliprane qui n'avait aucune influence sur les douleurs par du Dafalgan codéine qui agit un peu plus, j'en ai pris à 8h du matin
Apportez l'ordonnance de votre médecin, vos analyses de sang et vos examens radiologiques en rapport avec cet examen, surtout s'ils ont été faits dans un autre centre;62;Je suis surpris de cette convocation dont je n ai jamais enndu
En cas de signes COVID, faites un test antigénique. Si ce test est positif répondez COV;17;Bilan sanguin oui
La clinique du Mousseau : Suite à votre intervention si tout va bien, répondez TVB sinon répondez AID;64;TVB et un grand merci à toute l équipe chaleureuse et competente
Pour toute question ou problème vous pouvez appeler la chirurgie ambulatoire au 01.00.00.00.00 du lundi au vendredi de 8h à 18h. En dehors de ces horaires, le weekend et jours fériés, contactez les numéros indiqués sur la pochette de sortie;351;De légers saignements qui se sont estompés, l infirmière à domicile est passée pour me refaire le pansement et m'a précisé que la cicatrice est très belle, elle doit revenir lundi après-midi, pas de vomissement pas de nausée, des douleurs que je mettrai à une échelle de 1 sur 10, je ne me sens pas fiévreux, tout va bien pour le moment me semble-t-il
